W00-1401 "Evaluation Metrics for Generation"
W06-1302 "Multi-Domain Spoken Dialogue System with Extensibility and Robustness against Speech Recognition Errors"
W06-1303 "Building Effective Question Answering Characters"
W06-1304 "Interactive Question Answering and Constraint Relaxation in Spoken Dialogue Systems"
W06-1305 "Content Recognition in Dialogue"
W06-1306 "Multidimensional Dialogue Management"
W06-1307 "DRT Representation of Degrees of Belief"
W06-1308 "Resolution of Referents Groupings in Practical Dialogues"
W06-1309 "Tracing Actions Helps in Understanding Interactions"
W06-1310 "Semantic and Pragmatic Presupposition in Discourse Representation Theory"
W06-1311 "Semantic tagging for resolution of indirect anaphora"
W06-1312 "An annotation scheme for citation function"
W06-1313 "An Information State-Based Dialogue Manager for Call for Fire Dialogues"
W06-1314 "Automatically Detecting Action Items in Audio Meeting Recordings"
W06-1315 "Empirical Verification of Adjacency Pairs Using Dialogue Segmentation"
W06-1316 "Multimodal Dialog Description Language for Rapid System Development"
W06-1317 "Classification of Discourse Coherence Relations: An Exploratory Study using Multiple Knowledge Sources"
W06-1318 "Measuring annotator agreement in a complex hierarchical dialogue act annotation scheme"
W06-1319 "Balancing Conflicting Factors in Argument Interpretation"
W06-1320 "An Analysis of Quantitative Aspects in the Evaluation of Thematic Segmentation Algorithms"
W06-1322 "A computational model of multi-modal grounding for human robot interaction"
W06-1401 "Lessons Learned from Large Scale Evaluation of Systems that Produce Text: Nightmares and Pleasant Surprises"
W06-1402 "A Generation-Oriented Workbench for Performance Grammar: Capturing Linear Order Variability in German and Dutch"
W06-1403 "CCG Chart Realization from Disjunctive Inputs"
W06-1404 "Overgeneration and Ranking for Spoken Dialogue Systems"
W06-1405 "Individuality and Alignment in Generated Dialogues"
W06-1406 "Using Distributional Similarity to Identify Individual Verb Choice"
W06-1407 "Adjective-to-Verb Paraphrasing in Japanese Based on Lexical Constraints of Verbs"
W06-1408 "Generating References to Parts of Recursively Structured Objects"
W06-1409 "Overspecified Reference in Hierarchical Domains: Measuring the Benefits for Readers"
W06-1410 "Algorithms for Generating Referring Expressions: Do They Do What People Do?"
W06-1411 "Group-Based Generation of Referring Expressions"
W06-1412 "Noun Phrase Generation for Situated Dialogs"
W06-1413 "The Clarity-Brevity Trade-off in Generating Referring Expressions"
W06-1414 "Generic Querying of Relational Databases using Natural Language Generation Techniques"
W06-1415 "Generating Intelligent Numerical Answers in a Question-Answering System"
W06-1416 "Generating Multiple-Choice Test Items from Medical Text: A Pilot Study"
W06-1417 "Generation of Biomedical Arguments for Lay Readers"
W06-1418 "Introduction to the INLG'06 Special Session on Sharing Data and Comparative Evaluation"
W06-1419 "Evaluations of NLG Systems: Common Corpus and Tasks or Common Dimensions and Metrics?"
W06-1420 "Building a Semantically Transparent Corpus for the Generation of Referring Expressions."
W06-1421 "Shared-Task Evaluations in HLT: Lessons for NLG"
W06-3101 "Morpho-syntactic Information for Automatic Error Analysis of Statistical Machine Translation Output"
W06-3102 "Initial Explorations in English to Turkish Statistical Machine Translation"
W06-3103 "Morpho-syntactic Arabic Preprocessing for Arabic to English Statistical Machine Translation"
W06-3104 "Quasi-Synchronous Grammars: Alignment by Soft Projection of Syntactic Dependencies"
W06-3105 "Why Generative Phrase Models Underperform Surface Heuristics"
W06-3106 "Phrase-Based SMT with Shallow Tree-Phrases"
W06-3107 "Searching for alignments in SMT. A novel approach based on an Estimation of Distribution Algorithm"
W06-3108 "Discriminative Reordering Models for Statistical Machine Translation"
W06-3109 "Generalized Stack Decoding Algorithms for Statistical Machine Translation"
W06-3110 "N-Gram Posterior Probabilities for Statistical Machine Translation"
W06-3111 "Partitioning Parallel Documents Using Binary Segmentation"
W06-3112 "Contextual Bitext-Derived Paraphrases in Automatic MT Evaluation"
W06-3113 "How Many Bits Are Needed To Store Probabilities for Phrase-Based Translation?"
W06-3114 "Manual and Automatic Evaluation of Machine Translation between European Languages"
W06-3115 "NTT System Description for the WMT2006 Shared Task"
W06-3116 "Mood at work: Ramses versus Pharaoh"
W06-3117 "Stochastic Inversion Transduction Grammars for Obtaining Word Phrases for Phrase-based Statistical Machine Translation"
W06-3118 "PORTAGE: with Smoothed Phrase Tables and Segment Choice Models"
W06-3119 "Syntax Augmented Machine Translation via Chart Parsing"
W06-3120 "TALP Phrase-based statistical translation system for European language pairs"
W06-3121 "Phramer - An Open Source Statistical Phrase-Based Translator"
W06-3122 "Language Models and Reranking for Machine Translation"
W06-3123 "Constraining the Phrase-Based, Joint Probability Statistical Translation Model"
W06-3124 "Microsoft Research Treelet Translation System: NAACL 2006 Europarl Evaluation"
W06-3125 "N-gram-based SMT System Enhanced with Reordering Patterns"
W06-3301 "The Semantics of a Definiendum Constrains both the Lexical Semantics and the Lexicosyntactic Patterns in the Definiens"
W06-3302 "Ontology-Based Natural Language Query Processing for the Biological Domain"
W06-3303 "Term Generalization and Synonym Resolution for Biological Abstracts: Using the Gene Ontology for Subcellular Localization Prediction"
W06-3304 "Integrating Ontological Knowledge and Textual Evidence in Estimating Gene and Gene Product Similarity"
W06-3305 "A Priority Model for Named Entities"
W06-3306 "Human Gene Name Normalization using Text Matching with Automatically Extracted Synonym Dictionaries"
W06-3307 "Integrating Co-occurrence Statistics with Information Extraction for Robust Retrieval of Protein Interactions from Medline"
W06-3308 "BIOSMILE: Adapting Semantic Role Labeling for Biomedical Verbs:"
W06-3309 "Generative Content Models for Structural Analysis of Medical Abstracts"
W06-3310 "Exploring Text and Image Features to Classify Images in Bioscience Literature"
W06-3312 "Postnominal Prepositional Phrase Attachment in Proteomics"
W06-3314 "BioKI:Enzymes - an adaptable system to locate low-frequency information in full-text proteomics articles"
W06-3315 "A Graph-Search Framework for GeneId Ranking"
W06-3316 "Semi-supervised anaphora resolution in biomedical texts"
W06-3317 "Using Dependency Parsing and Probabilistic Inference to Extract Relationships between Genes, Proteins and Malignancies Implicit Among Multiple Biomedical Research Abstracts"
W06-3318 "Recognizing Nested Named Entities in GENIA corpus"
W06-3319 "Biomedical Term Recognition with the Perceptron HMM Algorithm"
W06-3320 "Refactoring Corpora"
W06-3321 "Rapid Adaptation of POS Tagging for Domain Specific Uses"
W06-3322 "Extracting Protein-Protein interactions using simple contextual features"
W06-3323 "Identifying Experimental Techniques in Biomedical Literature"
W06-3324 "A Pragmatic Approach to Summary Extraction in Clinical Trials"
W06-3325 "The Difficulties of Taxonomic Name Extraction and a Solution"
W06-3326 "Summarizing Key Concepts using Citation Sentences"
W06-3327 "Subdomain adaptation of a POS tagger with a small corpus"
W06-3401 "Prosodic Correlates of Rhetorical Relations"
W06-3402 "Off-Topic Detection in Conversational Telephone Speech"
W06-3403 "Computational Measures for Language Similarity Across Time in Online Communities"
W06-3404 "You Are What You Say: Using Meeting Participants' Speech to Detect their Roles and Expertise"
W06-3405 "Shallow Discourse Structure for Action Item Detection"
W06-3406 "Improving Email Speech Acts Analysis via N-gram Selection"
W06-3407 "Topic-Segmentation of Dialogue"
W06-3408 "ChAT: A Time-Linked System for Conversational Analysis"
W06-3409 "Pragmatic Discourse Representation Theory"
W06-3601 "A Syntax-Directed Translator with Extended Domain of Locality"
W06-3602 "Efficient Dynamic Programming Search Algorithms for Phrase-Based SMT"
W06-3603 "Computational Challenges in Parsing by Classification"
W06-3604 "All-word Prediction as the Ultimate Confusible Disambiguation"
W06-3605 "A Probabilistic Search for the Best Solution Among Partially Completed Candidates"
W06-3606 "Practical Markov Logic Containing First-Order Quantifiers with Application to Identity Uncertainty"
W06-3701 "Usability Issues in an Interactive Speech-to-Speech Translation System for Healthcare"
W06-3702 "Evaluating Task Performance for a Unidirectional Controlled Language Medical Speech Translation System"
W06-3703 "Speech to Speech Translation for Medical Triage in Korean"
W06-3704 "Automated Interpretation of Clinical Encounters with Cultural Cues and Electronic Health Record Generation"
W06-3705 "Language Engineering and the Pathway to Healthcare: A User-Oriented View"
W06-3706 "Converser (TM): Highly Interactive Speech-to-Speech Translation for Healthcare"
W06-3707 "MedSLT: A Limited-Domain Unidirectional Grammar-Based Medical Speech Translator"
W06-3708 "S-MINDS 2-Way Speech-to-Speech Translation System"
W06-3709 "Accultran: Automated Interpretation of Clinical Encounters with Cultural Cues and Electronic Health Record Generation"
W06-3710 "A Multi-Lingual Decision Support Prototype for the Medical Domain"
W07-0601 "A Linguistic Investigation into Unsupervised DOP"
W07-0602 "Using Classifier Features for Studying the Effect of Native Language on the Choice of Written Second Language Words"
W07-0603 "Phon 1.2: A Computational Basis for Phonological Database Elaboration and Model Testing"
W07-0604 "High-accuracy Annotation and Parsing of CHILDES Transcripts"
W07-0605 "I will shoot your shopping down and you can shoot all my tins\u2014Automatic Lexical Acquisition from the CHILDES Database"
W07-0606 "A Cognitive Model for the Representation and Acquisition of Verb Selectional Preferences"
W07-0607 "ISA meets Lara: An incremental word space model for cognitively plausible simulations of semantic learning"
W07-0608 "Simulating the acquisition of object names"
W07-0609 "Rethinking the syntactic burst in young children"
W07-0610 "The Topology of Synonymy and Homonymy Networks"
W07-0611 "The Benefits of Errors: Learning an OT Grammar with a Structured Candidate Set"
W07-0701 "Using Dependency Order Templates to Improve Generality in Translation"
W07-0702 "CCG Supertags in Factored Statistical Machine Translation"
W07-0703 "Integration of an Arabic Transliteration Module into a Statistical Machine Translation System"
W07-0704 "Exploring Different Representational Units in English-to-Turkish Statistical Machine Translation"
W07-0705 "Can We Translate Letters?"
W07-0706 "A Dependency Treelet String Correspondence Model for Statistical Machine Translation"
W07-0707 "Word Error Rates: Decomposition over POS classes and Applications for Error Analysis"
W07-0708 "Speech-Input Multi-Target Machine Translation"
W07-0709 "Meta-Structure Transformation Model for Statistical Machine Translation"
W07-0710 "Training Non-Parametric Features for Statistical Machine Translation"
W07-0711 "Using Word-Dependent Transition Models in HMM-Based Word Alignment for Statistical Machine Translation"
W07-0712 "Efficient Handling of N-gram Language Models for Statistical Machine Translation"
W07-0713 "Human Evaluation of Machine Translation Through Binary System Comparisons"
W07-0714 "Labelled Dependencies in Machine Translation Evaluation"
W07-0715 "An Iteratively-Trained Segmentation-Free Phrase Translation Model for Statistical Machine Translation"
W07-0716 "Using Paraphrases for Parameter Tuning in Statistical Machine Translation"
W07-0717 "Mixture-Model Adaptation for SMT"
W07-0718 "(Meta-) Evaluation of Machine Translation"
W07-0719 "Context-aware Discriminative Phrase Selection for Statistical Machine Translation"
W07-0720 "Ngram-Based Statistical Machine Translation Enhanced with Multiple Weighted Reordering Hypotheses"
W07-0721 "Analysis of Statistical and Morphological Classes to Generate Weigthed Reordering Hypotheses on a Statistical Machine Translation System"
W07-0722 "Domain Adaptation in Statistical Machine Translation with Mixture Modelling"
W07-0723 "Getting to Know Moses: Initial Experiments on German-English Factored Translation"
W07-0724 "NRC's PORTAGE System for WMT 2007"
W07-0725 "Building a Statistical Machine Translation System for French Using the Europarl Corpus"
W07-0726 "Multi-Engine Machine Translation with an Open-Source SMT Decoder"
W07-0727 "The ISL Phrase-Based MT System for the 2007 ACL Workshop on Statistical Machine Translation"
W07-0728 "Rule-Based Translation with Statistical Phrase-Based Post-Editing"
W07-0729 "The \"Noisier Channel\": Translation from Morphologically Complex Languages"
W07-0730 "UCB System Description for the WMT 2007 Shared Task"
W07-0731 "The Syntax Augmented MT (SAMT) System at the Shared Task for the 2007 ACL Workshop on Statistical Machine Translation"
W07-0732 "Statistical Post-Editing on SYSTRAN's Rule-Based Translation System"
